GICDeviceID,SampleDateTime,GICMeasured
10237,8/25/2018 7:29:59 PM,-1.30
10237,8/25/2018 7:30:43 PM,-0.60
10237,8/25/2018 7:31:28 PM,-0.60
10237,8/25/2018 7:31:39 PM,-0.70
10237,8/25/2018 7:31:44 PM,-0.80
10237,8/25/2018 7:31:49 PM,-1.00
10237,8/25/2018 7:32:05 PM,-0.80
10237,8/25/2018 7:32:14 PM,-0.70
10237,8/25/2018 7:32:14 PM,-1.40
10237,8/25/2018 7:32:21 PM,-0.60
10237,8/25/2018 7:32:28 PM,-0.70
10237,8/25/2018 7:32:32 PM,-0.80
10237,8/25/2018 7:33:30 PM,-0.70
10237,8/25/2018 7:33:40 PM,-0.60
10237,8/25/2018 7:34:10 PM,-0.50
10237,8/25/2018 7:36:30 PM,-0.40
10237,8/25/2018 7:36:49 PM,-0.30
10237,8/25/2018 7:37:35 PM,-0.40
10237,8/25/2018 7:37:50 PM,-0.30
10237,8/25/2018 7:38:03 PM,-0.40
10237,8/25/2018 7:38:10 PM,-0.80
10237,8/25/2018 7:38:15 PM,-1.10
10237,8/25/2018 7:38:20 PM,-1.30
10237,8/25/2018 7:38:25 PM,-1.50
10237,8/25/2018 7:38:30 PM,-1.60
10237,8/25/2018 7:38:35 PM,-1.90
10237,8/25/2018 7:38:40 PM,-2.70
10237,8/25/2018 7:38:51 PM,-0.60
10237,8/25/2018 7:39:01 PM,-0.80
10237,8/25/2018 7:39:06 PM,-1.00
10237,8/25/2018 7:39:10 PM,-1.80
10237,8/25/2018 7:39:15 PM,-2.10
10237,8/25/2018 7:39:20 PM,-2.50
10237,8/25/2018 7:39:27 PM,-2.60
10237,8/25/2018 7:39:34 PM,-2.50
10237,8/25/2018 7:39:52 PM,-2.60
10237,8/25/2018 7:39:59 PM,-2.80
10237,8/25/2018 7:40:04 PM,-3.10
10237,8/25/2018 7:40:11 PM,-3.20
10237,8/25/2018 7:40:20 PM,-3.00
10237,8/25/2018 7:40:29 PM,-3.10
10237,8/25/2018 7:40:35 PM,-3.40
10237,8/25/2018 7:40:39 PM,-3.50
10237,8/25/2018 7:40:50 PM,-3.60
10237,8/25/2018 7:40:58 PM,-3.50
10237,8/25/2018 7:41:02 PM,-3.40
10237,8/25/2018 7:42:24 PM,-3.70
10237,8/25/2018 7:42:38 PM,-3.60
10237,8/25/2018 7:42:54 PM,-3.50
10237,8/25/2018 7:43:09 PM,-3.40
10237,8/25/2018 7:44:06 PM,-3.00
10237,8/25/2018 7:44:10 PM,-2.90
10237,8/25/2018 7:44:19 PM,-2.80
10237,8/25/2018 7:44:49 PM,-2.60
10237,8/25/2018 7:45:13 PM,-2.80
10237,8/25/2018 7:45:26 PM,-2.60
10237,8/25/2018 7:45:28 PM,-1.40
10237,8/25/2018 7:45:33 PM,-2.50
10237,8/25/2018 7:45:46 PM,-2.60
10237,8/25/2018 7:46:05 PM,-2.50
10237,8/25/2018 7:46:34 PM,-2.40
10237,8/25/2018 7:46:54 PM,-2.30
10237,8/25/2018 7:47:12 PM,-2.20
10237,8/25/2018 7:47:49 PM,-2.10
10237,8/25/2018 7:48:01 PM,-1.90
10237,8/25/2018 7:48:28 PM,-2.10
10237,8/25/2018 7:48:50 PM,-1.90
10237,8/25/2018 7:49:16 PM,-1.80
10237,8/25/2018 7:50:32 PM,-1.70
10237,8/25/2018 7:51:22 PM,-1.60
10237,8/25/2018 7:51:46 PM,-1.50
10237,8/25/2018 7:52:22 PM,-1.30
10237,8/25/2018 7:53:14 PM,-1.20
10237,8/25/2018 7:53:32 PM,-1.10
10237,8/25/2018 7:53:43 PM,-1.20
10237,8/25/2018 7:53:56 PM,-1.10
10237,8/25/2018 7:54:26 PM,-1.00
10237,8/25/2018 7:54:41 PM,-1.10
10237,8/25/2018 7:54:50 PM,-1.00
10237,8/25/2018 7:55:30 PM,-0.90
10237,8/25/2018 7:55:50 PM,-0.80
10237,8/25/2018 7:56:26 PM,-1.30
10237,8/25/2018 7:59:27 PM,-0.90
10237,8/25/2018 7:59:33 PM,-1.10
10237,8/25/2018 7:59:40 PM,-1.20
10237,8/25/2018 7:59:52 PM,-1.30
10237,8/25/2018 8:00:12 PM,-1.40
10237,8/25/2018 8:01:25 PM,-1.50
10237,8/25/2018 8:01:37 PM,-1.40
10237,8/25/2018 8:01:45 PM,-1.40
10237,8/25/2018 8:01:57 PM,-1.30
10237,8/25/2018 8:02:14 PM,-1.10
10237,8/25/2018 8:02:57 PM,-1.00
10237,8/25/2018 8:03:21 PM,-0.90
10237,8/25/2018 8:03:59 PM,-1.00
10237,8/25/2018 8:05:19 PM,-1.10
